iter	Passed	Remaining
0	1	114
1	2	99
2	3	98
3	3	91
4	4	88
5	5	85
6	6	83
7	7	83
8	8	81
9	8	80
10	9	79
11	10	78
12	11	76
13	12	75
14	13	74
15	13	73
16	14	72
17	15	71
18	16	70
19	17	70
20	18	69
21	19	68
22	20	67
23	21	66
24	21	65
25	22	65
26	23	63
27	24	62
28	25	61
29	26	60
30	26	59
31	27	58
32	28	57
33	29	56
34	30	55
35	30	55
36	31	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	48
42	36	48
43	37	47
44	37	46
45	38	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	41
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	35
58	49	34
59	50	33
60	51	32
61	51	31
62	52	31
63	53	30
64	54	29
65	55	28
66	56	27
67	57	26
68	57	26
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	63	21
75	63	20
76	64	19
77	65	18
78	66	17
79	67	16
80	68	15
81	68	15
82	69	14
83	70	13
84	71	12
85	72	11
86	73	10
87	73	10
88	74	9
89	75	8
90	76	7
91	77	6
92	78	5
93	79	5
94	79	4
95	80	3
96	81	2
97	82	1
98	83	0
99	83	0
